year,layer,country,metric,value
2020,wheat,ABW,DE,0.0
2020,wheat,AFG,DE,0.0
2020,wheat,AGO,DE,0.0
2020,wheat,ALB,DE,0.0
2020,wheat,AND,DE,0.0
2020,wheat,ARE,DE,0.0
2020,wheat,ARG,DE,0.0
2020,wheat,ARM,DE,0.0
2020,wheat,ATG,DE,0.0
2020,wheat,AUS,DE,0.0
2020,wheat,AUT,DE,0.0
2020,wheat,AZE,DE,0.0
2020,wheat,BDI,DE,0.0
2020,wheat,BEL,DE,0.0
2020,wheat,BEN,DE,0.0
2020,wheat,BFA,DE,0.0007257721426052244
2020,wheat,BGD,DE,0.0
2020,wheat,BGR,DE,0.0
2020,wheat,BHR,DE,0.0
2020,wheat,BHS,DE,0.0
2020,wheat,BIH,DE,0.0
2020,wheat,BLM,DE,0.0
2020,wheat,BLR,DE,0.0
2020,wheat,BLZ,DE,0.0
2020,wheat,BMU,DE,0.0
2020,wheat,BOL,DE,0.0
2020,wheat,BRA,DE,0.0
2020,wheat,BRB,DE,0.0
2020,wheat,BRN,DE,0.0
2020,wheat,BTN,DE,0.0
2020,wheat,BWA,DE,0.0
2020,wheat,CAF,DE,0.0
2020,wheat,CAN,DE,0.0
2020,wheat,CHE,DE,3.395859862681376e-06
2020,wheat,CHL,DE,0.0
2020,wheat,CHN,DE,0.0
2020,wheat,CIV,DE,0.0
2020,wheat,CMR,DE,0.0
2020,wheat,COD,DE,0.0001685550634924213
2020,wheat,COG,DE,0.0
2020,wheat,COL,DE,0.0
2020,wheat,CPV,DE,0.0
2020,wheat,CRI,DE,0.0
2020,wheat,CUB,DE,0.0
2020,wheat,CUW,DE,0.0
2020,wheat,CYM,DE,0.0
2020,wheat,CYP,DE,0.0
2020,wheat,CZE,DE,0.0
2020,wheat,DEU,DE,7.80439220742072e-06
2020,wheat,DJI,DE,0.0
2020,wheat,DNK,DE,0.0
2020,wheat,DOM,DE,0.0
2020,wheat,DZA,DE,0.0
2020,wheat,E19,DE,0.0
2020,wheat,ECU,DE,0.0
2020,wheat,EGY,DE,0.0
2020,wheat,ERI,DE,0.0
2020,wheat,ESP,DE,0.0
2020,wheat,EST,DE,0.0
2020,wheat,ETH,DE,0.0
2020,wheat,FIN,DE,0.0
2020,wheat,FJI,DE,0.0
2020,wheat,FRA,DE,0.0
2020,wheat,FRO,DE,0.0
2020,wheat,GAB,DE,0.0
2020,wheat,GBR,DE,0.0003843481054882899
2020,wheat,GEO,DE,0.0
2020,wheat,GHA,DE,1.6478152880671793e-05
2020,wheat,GIB,DE,0.0
2020,wheat,GIN,DE,0.0
2020,wheat,GMB,DE,0.0
2020,wheat,GNQ,DE,0.0
2020,wheat,GRC,DE,0.0
2020,wheat,GRD,DE,0.0
2020,wheat,GTM,DE,0.0
2020,wheat,GUY,DE,0.0
2020,wheat,HKG,DE,0.0
2020,wheat,HND,DE,0.0
