year,layer,country,DE,SR,betweenness,katz,ppr,leontief,debtrank,pivi
2020,wheat,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,wheat,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,wheat,AGO,0.0,0.0,0.0,4.973114952936359,0.006164570662617936,3.058006893982565e-05,3.9920213597479044e-07,3.992021359747904e-07
2020,wheat,ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,wheat,AND,0.0,0.0,0.0,5.0063692305109,9.797054031100339e-08,3.733396481612161e-05,5.65372199430919e-06,0.0
2020,wheat,ARE,0.0,0.0,0.0,0.0,0.05251372625043836,0.0,1.0,0.0
2020,wheat,ARG,0.0,0.0,0.0025780379041248605,5.8738473533030255,4.857892996818432e-06,7.839909365384479e-05,7.631436482579229e-06,0.0
2020,wheat,ARM,0.0,0.0,0.0,5.899179963815706,7.737844581121124e-07,1.2199196546367523e-05,2.1573547807075746e-07,0.0
2020,wheat,ATG,0.0,0.0,0.0,6.050729354980296,1.0782180377262853e-07,8.626074271695413e-05,8.882339806670595e-06,0.0
2020,wheat,AUS,0.0,0.0,0.02689520624303233,6.067263029325795,0.0007458178851064885,8.305434710303857e-05,1.127800148546418e-07,1.127800148546418e-07
2020,wheat,AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,wheat,AZE,0.0,0.0,0.0,5.909553672423842,0.00027543424299684613,1.2350798475253e-05,1.3304156659680946e-07,1.3304156659680946e-07
2020,wheat,BDI,0.0,0.0,0.0,5.363573958424439,0.001636200941823309,0.0001922749170564501,0.00016637335082534286,0.00016637335082534286
2020,wheat,BEL,0.0,0.0,0.022900408769973988,4.788659516797901,0.027148472062972797,3.8639935859204836e-05,5.990973854461169e-06,5.990973854461168e-06
2020,wheat,BEN,0.0,0.0,0.0,5.911081686024522,8.2060534072636e-08,1.2228493792290976e-05,2.1631436150941292e-07,0.0
2020,wheat,BFA,0.0007257721426052244,30569.625,0.0,4.8297450153233505,0.03504707262797367,0.0007306644948178047,0.0007257721426052244,0.0
2020,wheat,BGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,wheat,BGR,0.0,0.0,0.00011612783351913787,4.436450328835322,0.00047995439555102525,2.2363232357376652e-05,7.244965946698104e-06,7.244965946698104e-06
2020,wheat,BHR,0.0,0.0,0.0,0.0,0.05251372625043836,0.0,1.0,0.0
2020,wheat,BHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,wheat,BIH,0.0,0.0,4.645113340765515e-05,4.2268240513643525,0.00012475808498348454,1.597542883347786e-05,5.9393577616483116e-08,5.939357761648311e-08
2020,wheat,BLM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,wheat,BLR,0.0,0.0,0.0,5.056949599078395,1.8366008681178965e-05,1.8871988715777744e-05,2.2642992260620384e-06,2.2642992260620384e-06
2020,wheat,BLZ,0.0,0.0,0.0,6.049683901874028,1.5501902940484013e-06,8.629994941256332e-05,9.068499185475438e-06,0.0
2020,wheat,BMU,0.0,0.0,0.0,6.049271750068155,3.2408313577626495e-09,8.648300208732483e-05,2.2370965745700004e-07,2.2370965745700004e-07
2020,wheat,BOL,0.0,0.0,0.0,5.951647975217814,8.61879913982612e-07,7.696778020215754e-05,1.7996951234024698e-09,0.0
2020,wheat,BRA,0.0,0.0,0.01073021181716834,5.9394328787039825,7.805983003353949e-05,7.408607881366892e-05,1.119967958584423e-06,0.0
2020,wheat,BRB,0.0,0.0,0.0,6.049688493212969,1.5730803132781098e-06,8.62967031376287e-05,9.064631322418427e-06,0.0
2020,wheat,BRN,0.0,0.0,0.0,5.795773705257222,6.5736674038276925e-06,6.580453369728394e-05,6.627139682974322e-07,6.627139682974322e-07
2020,wheat,BTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,wheat,BWA,0.0,0.0,0.002879970271274619,5.234549096278128,0.03653561385224802,2.751264887501688e-05,5.152797664165272e-08,5.152797664165272e-08
2020,wheat,CAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,wheat,CAN,0.0,0.0,0.03867056856187291,6.049258646334701,0.0009933525727560298,8.628197111190425e-05,8.30152605324493e-09,8.301526053244928e-09
2020,wheat,CHE,3.395859862681376e-06,372.78499999999997,0.0,4.282827337164351,0.004245586621726067,3.724578550675815e-05,3.395859862681376e-06,2.535151838707783e-06
2020,wheat,CHL,0.0,0.0,0.0028567447045707915,6.020141731678024,0.0027555823758654177,8.194039949460892e-05,2.9294744082148855e-10,2.9294744082148855e-10
2020,wheat,CHN,0.0,0.0,0.0026012634708286885,5.672700847086471,0.002505670016193535,6.610426471434765e-05,1.9133854458391828e-11,1.9133854458391828e-11
2020,wheat,CIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
